date,product,region,units_sold,revenue
2024-03-16,Laptop,Europe,143,143000
2024-03-16,Laptop,Asia,145,145000
2024-03-16,Laptop,North America,155,155000
2024-03-16,Monitor,Europe,181,54300
2024-03-16,Monitor,Asia,188,56400
2024-03-16,Monitor,North America,176,52800
2024-03-16,Tablet,Europe,115,46000
2024-03-16,Tablet,Asia,74,29600
2024-03-16,Tablet,North America,235,94000
2024-03-17,Laptop,Europe,124,124000
2024-03-17,Laptop,Asia,97,97000
2024-03-17,Laptop,North America,89,89000
2024-03-17,Monitor,Europe,129,38700
2024-03-17,Monitor,Asia,193,57900
2024-03-17,Monitor,North America,56,16800
2024-03-17,Tablet,Europe,83,33200
2024-03-17,Tablet,Asia,233,93200
2024-03-17,Tablet,North America,108,43200
2024-03-18,Laptop,Europe,161,161000
2024-03-18,Laptop,Asia,233,233000
2024-03-18,Laptop,North America,116,116000
2024-03-18,Monitor,Europe,71,21300
2024-03-18,Monitor,Asia,156,46800
2024-03-18,Monitor,North America,127,38100
2024-03-18,Tablet,Europe,84,33600
2024-03-18,Tablet,Asia,199,79600
2024-03-18,Tablet,North America,206,82400
2024-03-19,Laptop,Europe,104,104000
2024-03-19,Laptop,Asia,57,57000
2024-03-19,Laptop,North America,194,194000
2024-03-19,Monitor,Europe,211,63300
2024-03-19,Monitor,Asia,64,19200
2024-03-19,Monitor,North America,168,50400
2024-03-19,Tablet,Europe,67,26800
2024-03-19,Tablet,Asia,204,81600
2024-03-19,Tablet,North America,160,64000
2024-03-20,Laptop,Europe,244,244000
2024-03-20,Laptop,Asia,166,166000
2024-03-20,Laptop,North America,224,224000
2024-03-20,Monitor,Europe,230,69000
2024-03-20,Monitor,Asia,86,25800
2024-03-20,Monitor,North America,212,63600
2024-03-20,Tablet,Europe,106,42400
2024-03-20,Tablet,Asia,146,58400
2024-03-20,Tablet,North America,61,24400
2024-03-21,Laptop,Europe,183,183000
2024-03-21,Laptop,Asia,214,214000
2024-03-21,Laptop,North America,226,226000
2024-03-21,Monitor,Europe,121,36300
2024-03-21,Monitor,Asia,78,23400
2024-03-21,Monitor,North America,241,72300
2024-03-21,Tablet,Europe,249,99600
2024-03-21,Tablet,Asia,109,43600
2024-03-21,Tablet,North America,134,53600
2024-03-22,Laptop,Europe,217,217000
2024-03-22,Laptop,Asia,50,50000
2024-03-22,Laptop,North America,127,127000
2024-03-22,Monitor,Europe,211,63300
2024-03-22,Monitor,Asia,75,22500
2024-03-22,Monitor,North America,164,49200
2024-03-22,Tablet,Europe,78,31200
2024-03-22,Tablet,Asia,241,96400
2024-03-22,Tablet,North America,55,22000
2024-03-23,Laptop,Europe,224,224000
2024-03-23,Laptop,Asia,91,91000
2024-03-23,Laptop,North America,99,99000
2024-03-23,Monitor,Europe,60,18000
2024-03-23,Monitor,Asia,243,72900
2024-03-23,Monitor,North America,92,27600
2024-03-23,Tablet,Europe,243,97200
2024-03-23,Tablet,Asia,68,27200
2024-03-23,Tablet,North America,148,59200
2024-03-24,Laptop,Europe,127,127000
2024-03-24,Laptop,Asia,90,90000
2024-03-24,Laptop,North America,89,89000
2024-03-24,Monitor,Europe,52,15600
2024-03-24,Monitor,Asia,182,54600
2024-03-24,Monitor,North America,114,34200
2024-03-24,Tablet,Europe,231,92400
2024-03-24,Tablet,Asia,70,28000
2024-03-24,Tablet,North America,217,86800
2024-03-25,Laptop,Europe,123,123000
2024-03-25,Laptop,Asia,247,247000
2024-03-25,Laptop,North America,185,185000
2024-03-25,Monitor,Europe,157,47100
2024-03-25,Monitor,Asia,131,39300
2024-03-25,Monitor,North America,72,21600
2024-03-25,Tablet,Europe,244,97600
2024-03-25,Tablet,Asia,153,61200
2024-03-25,Tablet,North America,144,57600
2024-03-26,Laptop,Europe,113,113000
2024-03-26,Laptop,Asia,100,100000
2024-03-26,Laptop,North America,110,110000
2024-03-26,Monitor,Europe,223,66900
2024-03-26,Monitor,Asia,186,55800
2024-03-26,Monitor,North America,57,17100
2024-03-26,Tablet,Europe,161,64400
2024-03-26,Tablet,Asia,189,75600
2024-03-26,Tablet,North America,150,60000
2024-03-27,Laptop,Europe,51,51000
2024-03-27,Laptop,Asia,212,212000
2024-03-27,Laptop,North America,149,149000
2024-03-27,Monitor,Europe,207,62100
2024-03-27,Monitor,Asia,79,23700
2024-03-27,Monitor,North America,244,73200
2024-03-27,Tablet,Europe,90,36000
2024-03-27,Tablet,Asia,200,80000
2024-03-27,Tablet,North America,217,86800
2024-03-28,Laptop,Europe,92,92000
2024-03-28,Laptop,Asia,85,85000
2024-03-28,Laptop,North America,241,241000
2024-03-28,Monitor,Europe,81,24300
2024-03-28,Monitor,Asia,248,74400
2024-03-28,Monitor,North America,241,72300
2024-03-28,Tablet,Europe,136,54400
2024-03-28,Tablet,Asia,136,54400
2024-03-28,Tablet,North America,65,26000
2024-03-29,Laptop,Europe,199,199000
2024-03-29,Laptop,Asia,247,247000
2024-03-29,Laptop,North America,213,213000
2024-03-29,Monitor,Europe,52,15600
2024-03-29,Monitor,Asia,177,53100
2024-03-29,Monitor,North America,213,63900
2024-03-29,Tablet,Europe,223,89200
2024-03-29,Tablet,Asia,234,93600
2024-03-29,Tablet,North America,236,94400
2024-03-30,Laptop,Europe,245,245000
2024-03-30,Laptop,Asia,182,182000
2024-03-30,Laptop,North America,171,171000
2024-03-30,Monitor,Europe,111,33300
2024-03-30,Monitor,Asia,138,41400
2024-03-30,Monitor,North America,110,33000
2024-03-30,Tablet,Europe,84,33600
2024-03-30,Tablet,Asia,225,90000
2024-03-30,Tablet,North America,86,34400
2024-03-31,Laptop,Europe,199,199000
2024-03-31,Laptop,Asia,107,107000
2024-03-31,Laptop,North America,72,72000
2024-03-31,Monitor,Europe,88,26400
2024-03-31,Monitor,Asia,152,45600
2024-03-31,Monitor,North America,158,47400
2024-03-31,Tablet,Europe,131,52400
2024-03-31,Tablet,Asia,166,66400
2024-03-31,Tablet,North America,112,44800
